	Thailand,#genre#
56	UNIQUELY THAI,https://livefta.malimarcdn.com/ftaedge00/uniquely.sdp/playlist.m3u8
57	TEA TV,https://livefta.malimarcdn.com/ftaedge00/teatv.sdp/playlist.m3u8
58	Thái Nguyên,http://103.90.220.236/tntvlive/tv1live.m3u8
59	NBT WORLD,https://thainews.prd.go.th/lv/live/ch1_L_L.sdp/playlist.m3u8?blog.ntnas.top
60	NBT Central,http://live.prd.go.th:1935/live/ch9_L.sdp/chunklist.m3u8
61	NBT Bangkok,http://live.prd.go.th:1935/live/ch1_L.sdp/chunklist.m3u8
62	ASTV News1,http://news1.live14.com/stream/news1.m3u8
63	Love Nature,http://bamus-eng-roku.amagi.tv/playlist.m3u8#http://streamz.us:2082/live/J1528/Aa1234/3293.m3u8#p2p://54.39.16.152:9906/6260e5a4000e4c4817382627a71c329e
64	Champion TV1,http://tv.zonanime.my.id/vidio/championstv1.m3u8
65	Mix Major,http://line.premiumpowers.net:80/Pittbull/pittbull/228619
66	YA TEEM TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164767
67	VATI LAO,http://line.premiumpowers.net:80/Pittbull/pittbull/164762
68	TNN24,http://line.premiumpowers.net:80/Pittbull/pittbull/164750
69	CTB TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164736
70	SIENG KASEEP TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164734
71	SENATE THAI,http://line.premiumpowers.net:80/Pittbull/pittbull/164733
72	TCNN TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164730
73	PNTV,http://line.premiumpowers.net:80/Pittbull/pittbull/164728
74	PNN TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164727
75	OH MUANG LAO,http://line.premiumpowers.net:80/Pittbull/pittbull/164723
76	NING TV,http://line.premiumpowers.net:80/Pittbull/pittbull/164720
77	MYANMAR MRTV 4,http://line.premiumpowers.net:80/Pittbull/pittbull/164712
78	MYANMAR CHANNEL,http://line.premiumpowers.net:80/Pittbull/pittbull/164710
79	MYANMAR CHANNEL 7,http://line.premiumpowers.net:80/Pittbull/pittbull/164708
80	MY TV KHMER,http://line.premiumpowers.net:80/Pittbull/pittbull/164706
